	addr	pc	x	y
549	('117', 'BISHAN ST 12', 'BISHAN')	570117	103.849954	1.3470659999999999
550	('117', 'BT BATOK WEST AVE 6', 'BUKIT BATOK')	650117	103.747097	1.3499709999999998
551	('117', 'BT MERAH CTRL', 'BUKIT MERAH')	150117	103.815412	1.283666
552	('117', 'CLEMENTI ST 13', 'CLEMENTI')	120117	103.77103199999999	1.3244200000000002
553	('117', 'EDGEFIELD PLAINS', 'PUNGGOL')	820117	103.90661	1.3959629999999998
554	('117', 'HOUGANG AVE 1', 'HOUGANG')	530117	103.888155	1.3537299999999999
555	('117', 'LOR 1 TOA PAYOH', 'TOA PAYOH')	310117	103.845355	1.340009
556	('117', 'MARSILING RISE', 'WOODLANDS')	730117	103.78012700000001	1.438083
557	('117', 'PASIR RIS ST 11', 'PASIR RIS')	510117	103.954546	1.36791
558	('117', 'PENDING RD', 'BUKIT PANJANG')	670117	103.76794100000001	1.37723
559	('117', 'POTONG PASIR AVE 1', 'TOA PAYOH')	350117	103.863005	1.336047
560	('117', 'SERANGOON NTH AVE 1', 'SERANGOON')	550117	103.870666	1.367949
561	('117', 'SIMEI ST 1', 'TAMPINES')	520117	103.95138	1.344655
562	('117', 'TECK WHYE LANE', 'CHOA CHU KANG')	680117	103.751076	1.3794
563	('117', 'YISHUN RING RD', 'YISHUN')	760117	103.82759200000001	1.4355209999999998
564	('117A', 'RIVERVALE DR', 'SENGKANG')	541117	103.902387	1.383256
565	('117B', 'RIVERVALE DR', 'SENGKANG')	542117	103.902575	1.383752
566	('117C', 'RIVERVALE DR', 'SENGKANG')	543117	103.903279	1.383382
567	('118', 'ANG MO KIO AVE 4', 'ANG MO KIO')	560118	103.835367	1.373397
568	('118', 'BEDOK NTH ST 2', 'BEDOK')	460118	103.937264	1.330392
569	('118', 'BEDOK RESERVOIR RD', 'BEDOK')	470118	103.90909599999999	1.330998
570	('118', 'BISHAN ST 12', 'BISHAN')	570118	103.849869	1.3467049999999998
571	('118', 'BT BATOK WEST AVE 6', 'BUKIT BATOK')	650118	103.746448	1.350014
572	('118', 'CLEMENTI ST 13', 'CLEMENTI')	120118	103.771749	1.32491
573	('118', 'EDGEFIELD PLAINS', 'PUNGGOL')	820118	103.906196	1.396279
574	('118', 'HOUGANG AVE 1', 'HOUGANG')	530118	103.887527	1.35334
575	('118', 'LOR 1 TOA PAYOH', 'TOA PAYOH')	310118	103.845014	1.339545
576	('118', 'MARSILING RISE', 'WOODLANDS')	730118	103.78030799999999	1.438488
577	('118', 'PASIR RIS ST 11', 'PASIR RIS')	510118	103.954862	1.367154
578	('118', 'PENDING RD', 'BUKIT PANJANG')	670118	103.768658	1.376672
579	('118', 'POTONG PASIR AVE 1', 'TOA PAYOH')	350118	103.86268000000001	1.335302
580	('118', 'SERANGOON NTH AVE 1', 'SERANGOON')	550118	103.870735	1.3675709999999999
581	('118', 'TECK WHYE LANE', 'CHOA CHU KANG')	680118	103.750649	1.3798469999999998
582	('118', 'YISHUN RING RD', 'YISHUN')	760118	103.82840300000001	1.435934
583	('118A', 'JLN MEMBINA', 'BUKIT MERAH')	161118	103.825616	1.281551
584	('118B', 'JLN MEMBINA', 'BUKIT MERAH')	162118	103.825949	1.281971
585	('118C', 'JLN MEMBINA', 'BUKIT MERAH')	163118	103.82628199999999	1.282281
586	('118D', 'JLN MEMBINA', 'BUKIT MERAH')	164118	103.826778	1.2824520000000001
587	('119', 'ANG MO KIO AVE 3', 'ANG MO KIO')	560119	103.844368	1.369586
588	('119', 'BEDOK NTH RD', 'BEDOK')	460119	103.938451	1.330152
589	('119', 'BEDOK RESERVOIR RD', 'BEDOK')	470119	103.909454	1.331244
590	('119', 'BISHAN ST 12', 'BISHAN')	570119	103.850543	1.347428
591	('119', 'BT BATOK WEST AVE 6', 'BUKIT BATOK')	650119	103.746875	1.350375
592	('119', 'BT MERAH VIEW', 'BUKIT MERAH')	152119	103.82092	1.283498
593	('119', 'HO CHING RD', 'JURONG WEST')	610119	103.72443100000001	1.335143
594	('119', 'HOUGANG AVE 1', 'HOUGANG')	530119	103.88757	1.353941
595	('119', 'LOR 1 TOA PAYOH', 'TOA PAYOH')	310119	103.84448499999999	1.339098
596	('119', 'MARSILING RISE', 'WOODLANDS')	730119	103.780451	1.438839
597	('119', 'MCNAIR RD', 'KALLANG/WHAMPOA')	320119	103.857106	1.3198450000000002
598	('119', 'PASIR RIS ST 11', 'PASIR RIS')	510119	103.95490500000001	1.367472
599	('119', 'PENDING RD', 'BUKIT PANJANG')	670119	103.769136	1.376707
600	('119', 'POTONG PASIR AVE 1', 'TOA PAYOH')	350119	103.863091	1.334537
601	('119', 'SERANGOON NTH AVE 1', 'SERANGOON')	550119	103.871537	1.367451
602	('119', 'SIMEI ST 1', 'TAMPINES')	520119	103.952058	1.343967
603	('119', 'TECK WHYE LANE', 'CHOA CHU KANG')	680119	103.750238	1.379217
604	('119', 'YISHUN RING RD', 'YISHUN')	760119	103.829249	1.435265
605	('119A', 'RIVERVALE DR', 'SENGKANG')	541119	103.903391	1.384144
606	('119B', 'KIM TIAN RD', 'BUKIT MERAH')	162119	103.827483	1.281109
607	('119B', 'RIVERVALE DR', 'SENGKANG')	542119	103.90286	1.384356
608	('119C', 'KIM TIAN RD', 'BUKIT MERAH')	163119	103.82773900000001	1.281564
609	('119C', 'RIVERVALE DR', 'SENGKANG')	543119	103.903103	1.384946
610	('119D', 'KIM TIAN RD', 'BUKIT MERAH')	164119	103.827928	1.2819999999999998
611	('119D', 'RIVERVALE DR', 'SENGKANG')	544119	103.903509	1.385561
612	('12', 'CANTONMENT CL', 'BUKIT MERAH')	080012	103.84007199999999	1.274524
613	('12', 'DOVER CL EAST', 'QUEENSTOWN')	130012	103.785788	1.304904
614	('12', 'FARRER PK RD', 'KALLANG/WHAMPOA')	210012	103.851733	1.312076
615	('12', 'HOLLAND AVE', 'QUEENSTOWN')	272012	103.794461	1.3095379999999999
