pc,x,y,block,street_name,max_floor_lvl,year_completed,residential,commercial,market_hawker,miscellaneous,multistorey_carpark,precinct_pavilion,bldg_contract_town,total_dwelling_units,1 ROOM,2 ROOM,3 ROOM,4 ROOM,5 ROOM,EXECUTIVE,MULTI GENERATION,studio_apartment_sold,1room_rental,2room_rental,3room_rental,other_room_rental,town
822169,103.914062,1.3932790000000002,169,BEDOK STH AVE 3,13.0,1984.0,Y,N,N,N,N,N,BD,96.0,0.0,0.0,0.0,96.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BEDOK
823169,103.91429,1.3936620000000002,169,BISHAN ST 13,4.0,1986.0,Y,N,N,N,N,N,BH,16.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,BISHAN
190017,103.863524,1.303757,169,BT BATOK WEST AVE 8,12.0,1984.0,Y,N,N,Y,N,N,BB,110.0,0.0,0.0,66.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BUKIT BATOK
080017,103.839875,1.2739049999999998,169,HOUGANG AVE 1,14.0,1996.0,Y,N,N,N,N,N,HG,123.0,0.0,0.0,0.0,97.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HOUGANG
130017,103.782918,1.307588,169,LOR 1 TOA PAYOH,12.0,1972.0,Y,N,N,Y,N,N,TP,131.0,0.0,0.0,118.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,TOA PAYOH
400017,103.904207,1.32334,169,STIRLING RD,16.0,1970.0,Y,Y,N,N,N,N,QT,199.0,0.0,0.0,198.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QUEENSTOWN
278865,103.782495,1.313624,,,,,,,,,,,,,,,,,,,,,,,,,
530017,103.89087,1.363395,169A,PUNGGOL FIELD,18.0,2012.0,Y,N,N,N,N,N,PG,62.0,0.0,0.0,0.0,33.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PUNGGOL
321017,103.859848,1.328213,169B,PUNGGOL FIELD,18.0,2012.0,Y,N,N,N,N,N,PG,67.0,0.0,0.0,0.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PUNGGOL
360017,103.881234,1.336193,169C,PUNGGOL FIELD,18.0,2012.0,Y,N,N,N,N,N,PG,64.0,0.0,0.0,0.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PUNGGOL
310017,103.856653,1.33644,17,BEACH RD,20.0,1974.0,Y,Y,N,N,N,N,KWN,76.0,0.0,0.0,0.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,KALLANG/WHAMPOA
440017,103.913855,1.30382,17,CANTONMENT CL,30.0,2000.0,Y,N,N,N,N,N,BM,116.0,0.0,0.0,0.0,58.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BUKIT MERAH
730017,103.777656,1.442561,17,DOVER CRES,30.0,2002.0,Y,N,N,N,N,N,QT,154.0,0.0,0.0,0.0,102.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QUEENSTOWN
151017,103.81759,1.285258,,,,,,,,,,,,,,,,,,,,,,,,,
161017,103.833292,1.285297,17,EUNOS CRES,12.0,1976.0,Y,N,N,Y,N,N,GL,150.0,0.0,0.0,146.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GEYLANG
320017,103.862409,1.323793,17,GHIM MOH RD,14.0,1976.0,Y,N,N,Y,N,N,QT,208.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,208.0,0.0,0.0,QUEENSTOWN
680017,103.753981,1.379089,17,HOUGANG AVE 3,12.0,1977.0,Y,N,N,N,N,N,HG,132.0,0.0,0.0,110.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HOUGANG
090017,103.821862,1.277672,17,JLN TENTERAM,22.0,1999.0,Y,Y,N,N,N,N,KWN,133.0,0.0,0.0,0.0,97.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,KALLANG/WHAMPOA
163017,103.833147,1.2856040000000002,17,JOO SENG RD,13.0,1983.0,Y,N,N,Y,N,N,TP,152.0,0.0,0.0,0.0,152.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOA PAYOH
590017,103.772741,1.339716,17,LOR 7 TOA PAYOH,20.0,1970.0,Y,N,N,N,N,N,TP,320.0,0.0,0.0,320.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOA PAYOH
560170,103.836566,1.373975,17,MARINE TER,16.0,1974.0,Y,N,N,Y,N,N,MP,150.0,0.0,0.0,0.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MARINE PARADE
460170,103.945869,1.320651,17,MARSILING LANE,14.0,1975.0,Y,N,N,N,N,N,WL,208.0,0.0,0.0,208.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WOODLANDS
570170,103.853574,1.346406,17,SENG POH RD,4.0,1949.0,Y,N,N,N,N,N,BM,16.0,0.0,0.0,12.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BUKIT MERAH
640170,103.707014,1.347219,,,,,,,,,,,,,,,,,,,,,,,,,
650170,103.740088,1.346584,17,ST. GEORGE'S RD,4.0,1984.0,Y,N,N,N,N,N,KWN,16.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,KALLANG/WHAMPOA
670170,103.766079,1.378673,17,TECK WHYE LANE,13.0,1980.0,Y,N,N,Y,N,N,CCK,120.0,0.0,0.0,0.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CHOA CHU KANG
530170,103.889278,1.351665,17,TELOK BLANGAH CRES,30.0,2000.0,Y,N,N,N,N,N,BM,145.0,0.0,0.0,0.0,87.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BUKIT MERAH
140170,103.80282,1.290908,17,TOH YI DR,14.0,1988.0,Y,N,N,N,N,N,BT,138.0,0.0,0.0,0.0,75.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BUKIT TIMAH
730170,103.776594,1.43363,17A,CIRCUIT RD,19.0,2015.0,Y,N,N,Y,N,N,GL,72.0,0.0,0.0,0.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GEYLANG
760170,103.832759,1.437123,17A,TELOK BLANGAH CRES,30.0,2000.0,Y,N,N,Y,N,N,BM,174.0,0.0,0.0,0.0,116.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BUKIT MERAH
821170,103.914912,1.393514,17B,CIRCUIT RD,19.0,2015.0,Y,N,N,N,N,N,GL,108.0,0.0,0.0,0.0,108.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GEYLANG
822170,103.914749,1.39336,170,ANG MO KIO AVE 4,10.0,1980.0,Y,Y,N,Y,N,N,AMK,179.0,0.0,50.0,124.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,ANG MO KIO
823170,103.914565,1.39318,170,BEDOK STH RD,12.0,1985.0,Y,N,N,Y,N,N,BD,88.0,0.0,0.0,0.0,48.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BEDOK
560171,103.835603,1.3749559999999998,170,BISHAN ST 13,8.0,1986.0,Y,N,N,Y,N,N,BH,84.0,0.0,0.0,0.0,36.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BISHAN
460171,103.945191,1.320788,170,BT BATOK WEST AVE 8,25.0,1985.0,Y,N,N,N,N,N,BB,144.0,0.0,0.0,0.0,48.0,96.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BUKIT BATOK
570171,103.853591,1.346853,170,GANGSA RD,22.0,1996.0,Y,N,N,N,N,N,BP,126.0,0.0,0.0,0.0,84.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BUKIT PANJANG
640171,103.707944,1.346585,,,,,,,,,,,,,,,,,,,,,,,,,
650171,103.740304,1.346062,170,HOUGANG AVE 1,14.0,1996.0,Y,N,N,Y,N,N,HG,91.0,0.0,0.0,0.0,39.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HOUGANG
670171,103.76627,1.37901,170,LOR 1 TOA PAYOH,12.0,1972.0,Y,N,N,Y,N,N,TP,308.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,308.0,0.0,0.0,0.0,TOA PAYOH
530171,103.889048,1.351046,170,STIRLING RD,16.0,1970.0,Y,Y,N,N,N,N,QT,197.0,0.0,0.0,194.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QUEENSTOWN
310171,103.842869,1.331077,170,WOODLANDS ST 11,12.0,1984.0,Y,N,N,N,N,N,WL,66.0,0.0,0.0,0.0,0.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WOODLANDS
140171,103.803799,1.290863,170,YISHUN AVE 7,16.0,1986.0,Y,N,N,N,N,N,YS,90.0,0.0,0.0,0.0,30.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,YISHUN
730171,103.776867,1.43402,170A,PUNGGOL FIELD,18.0,2012.0,Y,N,N,N,N,N,PG,67.0,0.0,0.0,0.0,51.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PUNGGOL
760171,103.832229,1.436916,170B,PUNGGOL FIELD,18.0,2012.0,Y,N,N,N,N,N,PG,66.0,0.0,0.0,0.0,50.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PUNGGOL
821171,103.912345,1.394753,170C,PUNGGOL FIELD,18.0,2012.0,Y,N,N,N,N,N,PG,62.0,0.0,0.0,0.0,33.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PUNGGOL
822171,103.912748,1.395263,171,ANG MO KIO AVE 4,16.0,1981.0,Y,N,N,N,N,N,AMK,96.0,0.0,0.0,0.0,14.0,82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ANG MO KIO
823171,103.913282,1.394934,171,BEDOK STH RD,12.0,1985.0,Y,N,N,Y,N,N,BD,88.0,0.0,0.0,0.0,48.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BEDOK
560172,103.836451,1.374721,171,BISHAN ST 13,11.0,1986.0,Y,N,N,Y,N,N,BH,120.0,0.0,0.0,79.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,BISHAN
460172,103.94456,1.320607,171,BT BATOK WEST AVE 8,25.0,1984.0,Y,Y,N,N,N,N,BB,144.0,0.0,0.0,0.0,48.0,96.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BUKIT BATOK
570172,103.853335,1.347162,171,GANGSA RD,22.0,1996.0,Y,N,N,N,N,N,BP,126.0,0.0,0.0,0.0,84.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BUKIT PANJANG
640172,103.707934,1.346339,,,,,,,,,,,,,,,,,,,,,,,,,
650172,103.740629,1.345712,171,HOUGANG AVE 1,14.0,1996.0,Y,N,N,Y,N,N,HG,91.0,0.0,0.0,0.0,39.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HOUGANG
670172,103.766639,1.379524,171,LOR 1 TOA PAYOH,23.0,1994.0,Y,N,N,Y,N,N,TP,160.0,0.0,0.0,0.0,67.0,93.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOA PAYOH
530172,103.889603,1.35084,171,STIRLING RD,14.0,1970.0,Y,Y,N,N,N,N,QT,120.0,0.0,0.0,117.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,QUEENSTOWN
310172,103.843098,1.330415,171,WOODLANDS ST 11,10.0,1984.0,Y,N,N,Y,N,N,WL,119.0,0.0,0.0,0.0,112.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,WOODLANDS
140172,,,,,,,,,,,,,,,,,,,,,,,,,,,
730172,103.77743,1.433974,171,YISHUN AVE 7,13.0,1986.0,Y,Y,N,Y,N,N,YS,109.0,0.0,0.0,50.0,48.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,YISHUN
760172,103.831428,1.436649,171A,EDGEDALE PLAINS,18.0,2002.0,Y,N,N,N,N,N,PG,116.0,0.0,0.0,0.0,58.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PUNGGOL
821172,103.911509,1.395452,171B,EDGEDALE PLAINS,18.0,2002.0,Y,N,N,Y,N,N,PG,124.0,0.0,0.0,0.0,0.0,124.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PUNGGOL
311172,103.842652,1.330301,171C,EDGEDALE PLAINS,18.0,2002.0,Y,N,N,Y,N,N,PG,136.0,0.0,0.0,0.0,34.0,102.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PUNGGOL
822172,103.911829,1.396013,172,ANG MO KIO AVE 4,10.0,1980.0,Y,N,N,Y,N,N,AMK,178.0,0.0,49.0,124.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,ANG MO KIO
