	addr	pc
5366	"('451', 'HOUGANG AVE 10', 'HOUGANG')"	530451
5367	"('451', 'JURONG WEST ST 42', 'JURONG WEST')"	640451
5368	"('451', 'PASIR RIS DR 6', 'PASIR RIS')"	510451
5369	"('451', 'SIN MING AVE', 'BISHAN')"	570451
5370	"('451', 'TAMPINES ST 42', 'TAMPINES')"	520451
5371	"('451', 'YISHUN RING RD', 'YISHUN')"	760451
5372	"('451A', 'SENGKANG WEST WAY', 'SENGKANG')"	791451
5373	"('451B', 'SENGKANG WEST WAY', 'SENGKANG')"	792451
5374	"('452', 'ANG MO KIO AVE 10', 'ANG MO KIO')"	560452
5375	"('452', 'CHOA CHU KANG AVE 4', 'CHOA CHU KANG')"	680452
5376	"('452', 'FAJAR RD', 'BUKIT PANJANG')"	670452
5377	"('452', 'HOUGANG AVE 10', 'HOUGANG')"	530452
5378	"('452', 'JURONG WEST ST 42', 'JURONG WEST')"	640452
5379	"('452', 'PASIR RIS DR 6', 'PASIR RIS')"	510452
5380	"('452', 'SIN MING AVE', 'BISHAN')"	570452
5381	"('452', 'TAMPINES ST 42', 'TAMPINES')"	520452
5382	"('452', 'YISHUN RING RD', 'YISHUN')"	760452
5383	"('452A', 'SENGKANG WEST WAY', 'SENGKANG')"	791452
5384	"('452B', 'SENGKANG WEST WAY', 'SENGKANG')"	792452
5385	"('453', 'ANG MO KIO AVE 10', 'ANG MO KIO')"	560453
5386	"('453', 'CHOA CHU KANG AVE 4', 'CHOA CHU KANG')"	680453
5387	"('453', 'FAJAR RD', 'BUKIT PANJANG')"	670453
5388	"('453', 'HOUGANG AVE 10', 'HOUGANG')"	530453
5389	"('453', 'JURONG WEST ST 42', 'JURONG WEST')"	640453
5390	"('453', 'PASIR RIS DR 6', 'PASIR RIS')"	510453
5391	"('453', 'SIN MING AVE', 'BISHAN')"	570453
5392	"('453', 'TAMPINES ST 42', 'TAMPINES')"	520453
5393	"('453', 'YISHUN ST 41', 'YISHUN')"	760453
5394	"('453A', 'FERNVALE RD', 'SENGKANG')"	791453
5395	"('453B', 'FERNVALE RD', 'SENGKANG')"	792453
5396	"('453C', 'FERNVALE RD', 'SENGKANG')"	793453
5397	"('453D', 'FERNVALE RD', 'SENGKANG')"	794453
5398	"('454', 'ANG MO KIO AVE 10', 'ANG MO KIO')"	560454
5399	"('454', 'CHOA CHU KANG AVE 4', 'CHOA CHU KANG')"	680454
5400	"('454', 'CLEMENTI AVE 3', 'CLEMENTI')"	120454
5401	"('454', 'FAJAR RD', 'BUKIT PANJANG')"	670454
5402	"('454', 'HOUGANG AVE 10', 'HOUGANG')"	530454
5403	"('454', 'JURONG WEST ST 42', 'JURONG WEST')"	640454
5404	"('454', 'PASIR RIS DR 6', 'PASIR RIS')"	510454
5405	"('454', 'SIN MING AVE', 'BISHAN')"	570454
5406	"('454', 'TAMPINES ST 42', 'TAMPINES')"	520454
5407	"('454', 'YISHUN ST 41', 'YISHUN')"	760454
5408	"('455', 'ANG MO KIO AVE 10', 'ANG MO KIO')"	560455
5409	"('455', 'CHOA CHU KANG AVE 4', 'CHOA CHU KANG')"	680455
5410	"('455', 'CLEMENTI AVE 3', 'CLEMENTI')"	120455
5411	"('455', 'HOUGANG AVE 10', 'HOUGANG')"	530455
5412	"('455', 'JURONG WEST ST 42', 'JURONG WEST')"	640455
5413	"('455', 'PASIR RIS DR 6', 'PASIR RIS')"	510455
5414	"('455', 'SEGAR RD', 'BUKIT PANJANG')"	670455
5415	"('455', 'SIN MING AVE', 'BISHAN')"	570455
5416	"('455', 'TAMPINES ST 42', 'TAMPINES')"	520455
5417	"('455', 'YISHUN ST 41', 'YISHUN')"	760455
5418	"('456', 'ANG MO KIO AVE 10', 'ANG MO KIO')"	560456
5419	"('456', 'CHOA CHU KANG AVE 4', 'CHOA CHU KANG')"	680456
5420	"('456', 'CLEMENTI AVE 3', 'CLEMENTI')"	120456
5421	"('456', 'HOUGANG AVE 10', 'HOUGANG')"	530456
5422	"('456', 'JURONG WEST ST 41', 'JURONG WEST')"	640456
5423	"('456', 'PASIR RIS DR 4', 'PASIR RIS')"	510456
5424	"('456', 'SEGAR RD', 'BUKIT PANJANG')"	670456
5425	"('456', 'TAMPINES ST 42', 'TAMPINES')"	520456
5426	"('456', 'YISHUN ST 41', 'YISHUN')"	760456
5427	"('457', 'ANG MO KIO AVE 10', 'ANG MO KIO')"	560457
5428	"('457', 'CHOA CHU KANG AVE 4', 'CHOA CHU KANG')"	680457
5429	"('457', 'CLEMENTI AVE 3', 'CLEMENTI')"	120457
5430	"('457', 'HOUGANG AVE 10', 'HOUGANG')"	530457
5431	"('457', 'JURONG WEST ST 41', 'JURONG WEST')"	640457
5432	"('457', 'PASIR RIS DR 4', 'PASIR RIS')"	510457
5433	"('457', 'SEGAR RD', 'BUKIT PANJANG')"	670457
5434	"('457', 'TAMPINES ST 42', 'TAMPINES')"	520457
5435	"('457', 'YISHUN ST 41', 'YISHUN')"	760457
5436	"('458', 'ANG MO KIO AVE 10', 'ANG MO KIO')"	560458
5437	"('458', 'CHOA CHU KANG AVE 4', 'CHOA CHU KANG')"	680458
5438	"('458', 'CLEMENTI AVE 3', 'CLEMENTI')"	120458
5439	"('458', 'HOUGANG AVE 10', 'HOUGANG')"	530458
5440	"('458', 'JURONG WEST ST 41', 'JURONG WEST')"	640458
5441	"('458', 'PASIR RIS DR 4', 'PASIR RIS')"	510458
5442	"('458', 'SEGAR RD', 'BUKIT PANJANG')"	670458
5443	"('458', 'TAMPINES ST 42', 'TAMPINES')"	520458
5444	"('458', 'YISHUN AVE 11', 'YISHUN')"	760458
5445	"('459', 'ANG MO KIO AVE 10', 'ANG MO KIO')"	560459
5446	"('459', 'CHOA CHU KANG AVE 4', 'CHOA CHU KANG')"	680459
5447	"('459', 'CLEMENTI AVE 3', 'CLEMENTI')"	120459
5448	"('459', 'JURONG WEST ST 41', 'JURONG WEST')"	640459
5449	"('459', 'PASIR RIS DR 4', 'PASIR RIS')"	510459
5450	"('459', 'SEGAR RD', 'BUKIT PANJANG')"	670459
5451	"('459', 'TAMPINES ST 42', 'TAMPINES')"	520459
5452	"('459', 'YISHUN AVE 11', 'YISHUN')"	760459
5453	"('46', 'BEDOK STH AVE 3', 'BEDOK')"	460046
5454	"('46', 'BENDEMEER RD', 'KALLANG/WHAMPOA')"	330046
5455	"('46', 'CIRCUIT RD', 'GEYLANG')"	370046
5456	"('46', 'HOLLAND DR', 'QUEENSTOWN')"	270046
5457	"('46', 'JLN BAHAGIA', 'KALLANG/WHAMPOA')"	320046
5458	"('46', 'JLN BT HO SWEE', 'BUKIT MERAH')"	160046
5459	"('46', 'LENGKOK BAHRU', 'BUKIT MERAH')"	150046
5460	"('46', 'LOR 5 TOA PAYOH', 'TOA PAYOH')"	310046
5461	"('46', 'MARINE CRES', 'MARINE PARADE')"	440046
5462	"('46', 'OWEN RD', 'KALLANG/WHAMPOA')"	210046
5463	"('46', 'SENG POH RD', 'BUKIT MERAH')"	161046
5464	"('46', 'STIRLING RD', 'QUEENSTOWN')"	140046
5465	"('46', 'TEBAN GDNS RD', 'JURONG EAST')"	600046
5466	"('46', 'TELOK BLANGAH DR', 'BUKIT MERAH')"	100046
5467	"('460', 'ANG MO KIO AVE 10', 'ANG MO KIO')"	560460
5468	"('460', 'CHOA CHU KANG AVE 4', 'CHOA CHU KANG')"	680460
5469	"('460', 'CLEMENTI AVE 3', 'CLEMENTI')"	120460
5470	"('460', 'HOUGANG AVE 10', 'HOUGANG')"	530460
5471	"('460', 'JURONG WEST ST 41', 'JURONG WEST')"	640460
5472	"('460', 'PASIR RIS DR 4', 'PASIR RIS')"	510460
5473	"('460', 'SEGAR RD', 'BUKIT PANJANG')"	670460
5474	"('460', 'TAMPINES ST 42', 'TAMPINES')"	520460
5475	"('461', 'ANG MO KIO AVE 10', 'ANG MO KIO')"	560461
5476	"('461', 'CHOA CHU KANG AVE 4', 'CHOA CHU KANG')"	680461
5477	"('461', 'CLEMENTI AVE 3', 'CLEMENTI')"	120461
5478	"('461', 'CRAWFORD LANE', 'KALLANG/WHAMPOA')"	190461
5479	"('461', 'HOUGANG AVE 10', 'HOUGANG')"	530461
5480	"('461', 'JURONG WEST ST 41', 'JURONG WEST')"	640461
5481	"('461', 'PASIR RIS DR 4', 'PASIR RIS')"	510461
5482	"('461', 'SEGAR RD', 'BUKIT PANJANG')"	670461
5483	"('461', 'TAMPINES ST 44', 'TAMPINES')"	520461
5484	"('462', 'ANG MO KIO AVE 10', 'ANG MO KIO')"	560462
5485	"('462', 'CHOA CHU KANG AVE 4', 'CHOA CHU KANG')"	680462
5486	"('462', 'CLEMENTI AVE 3', 'CLEMENTI')"	120462
5487	"('462', 'CRAWFORD LANE', 'KALLANG/WHAMPOA')"	190462
5488	"('462', 'HOUGANG AVE 10', 'HOUGANG')"	530462
5489	"('462', 'JURONG WEST ST 41', 'JURONG WEST')"	640462
5490	"('462', 'TAMPINES ST 44', 'TAMPINES')"	520462
5491	"('463', 'ANG MO KIO AVE 10', 'ANG MO KIO')"	560463
5492	"('463', 'CHOA CHU KANG AVE 4', 'CHOA CHU KANG')"	680463
5493	"('463', 'CRAWFORD LANE', 'KALLANG/WHAMPOA')"	190463
5494	"('463', 'HOUGANG AVE 10', 'HOUGANG')"	530463
5495	"('463', 'JURONG WEST ST 41', 'JURONG WEST')"	640463
5496	"('463', 'PASIR RIS ST 41', 'PASIR RIS')"	510463
5497	"('463', 'TAMPINES ST 44', 'TAMPINES')"	520463
5498	"('463A', 'SEMBAWANG DR', 'SEMBAWANG')"	751463
5499	"('463B', 'SEMBAWANG DR', 'SEMBAWANG')"	752463
5500	"('463C', 'SEMBAWANG DR', 'SEMBAWANG')"	753463
5501	"('464', 'ANG MO KIO AVE 10', 'ANG MO KIO')"	560464
5502	"('464', 'CHOA CHU KANG AVE 4', 'CHOA CHU KANG')"	680464
5503	"('464', 'JURONG WEST ST 41', 'JURONG WEST')"	640464
5504	"('464', 'PASIR RIS ST 41', 'PASIR RIS')"	510464
5505	"('464', 'TAMPINES ST 44', 'TAMPINES')"	520464
5506	"('464', 'UPP SERANGOON RD', 'HOUGANG')"	534794
5507	"('465', 'ANG MO KIO AVE 10', 'ANG MO KIO')"	560465
5508	"('465', 'CHOA CHU KANG AVE 4', 'CHOA CHU KANG')"	680465
5509	"('465', 'JURONG WEST ST 41', 'JURONG WEST')"	640465
5510	"('465', 'PASIR RIS ST 41', 'PASIR RIS')"	510465
5511	"('465', 'SEGAR RD', 'BUKIT PANJANG')"	670465
5512	"('465', 'TAMPINES ST 44', 'TAMPINES')"	520465
5513	"('465', 'UPP SERANGOON RD', 'HOUGANG')"	530465
5514	"('466', 'ANG MO KIO AVE 10', 'ANG MO KIO')"	560466
5515	"('466', 'CRAWFORD LANE', 'KALLANG/WHAMPOA')"	190466
5516	"('466', 'HOUGANG AVE 8', 'HOUGANG')"	530466
5517	"('466', 'JURONG WEST ST 41', 'JURONG WEST')"	640466
5518	"('466', 'PASIR RIS ST 41', 'PASIR RIS')"	510466
5519	"('466', 'SEGAR RD', 'BUKIT PANJANG')"	670466
5520	"('466A', 'SEMBAWANG DR', 'SEMBAWANG')"	751466
5521	"('466B', 'SEMBAWANG DR', 'SEMBAWANG')"	752466
5522	"('466C', 'SEMBAWANG DR', 'SEMBAWANG')"	753466
5523	"('466D', 'SEMBAWANG DR', 'SEMBAWANG')"	754466
5524	"('467', 'ADMIRALTY DR', 'SEMBAWANG')"	750467
5525	"('467', 'ANG MO KIO AVE 10', 'ANG MO KIO')"	560467
5526	"('467', 'HOUGANG AVE 8', 'HOUGANG')"	530467
5527	"('467', 'JURONG WEST ST 41', 'JURONG WEST')"	640467
5528	"('467', 'NTH BRIDGE RD', 'KALLANG/WHAMPOA')"	190467
5529	"('467', 'PASIR RIS DR 6', 'PASIR RIS')"	510467
5530	"('467', 'SEGAR RD', 'BUKIT PANJANG')"	670467
5531	"('467', 'TAMPINES ST 44', 'TAMPINES')"	520467
5532	"('467A', 'ADMIRALTY DR', 'SEMBAWANG')"	751467
5533	"('467B', 'ADMIRALTY DR', 'SEMBAWANG')"	752467
5534	"('468', 'ANG MO KIO AVE 10', 'ANG MO KIO')"	560468
5535	"('468', 'HOUGANG AVE 8', 'HOUGANG')"	530468
5536	"('468', 'JURONG WEST ST 41', 'JURONG WEST')"	640468
5537	"('468', 'NTH BRIDGE RD', 'KALLANG/WHAMPOA')"	190468
5538	"('468', 'PASIR RIS DR 6', 'PASIR RIS')"	510468
5539	"('468', 'SEGAR RD', 'BUKIT PANJANG')"	670468
5540	"('468', 'TAMPINES ST 44', 'TAMPINES')"	520468
5541	"('468A', 'ADMIRALTY DR', 'SEMBAWANG')"	751468
5542	"('468B', 'ADMIRALTY DR', 'SEMBAWANG')"	752468
5543	"('468B', 'FERNVALE LINK', 'SENGKANG')"	792468
5544	"('468C', 'ADMIRALTY DR', 'SEMBAWANG')"	753468
5545	"('468D', 'ADMIRALTY DR', 'SEMBAWANG')"	754468
5546	"('469', 'ADMIRALTY DR', 'SEMBAWANG')"	750469
5547	"('469', 'CHOA CHU KANG AVE 3', 'CHOA CHU KANG')"	680469
5548	"('469', 'JURONG WEST ST 41', 'JURONG WEST')"	640469
5549	"('469', 'PASIR RIS DR 6', 'PASIR RIS')"	510469
5550	"('469', 'SEGAR RD', 'BUKIT PANJANG')"	670469
5551	"('469', 'TAMPINES ST 44', 'TAMPINES')"	520469
5552	"('469A', 'ADMIRALTY DR', 'SEMBAWANG')"	751469
5553	"('469B', 'ADMIRALTY DR', 'SEMBAWANG')"	752469
5554	"('469B', 'SENGKANG WEST WAY', 'SENGKANG')"	792469
5555	"('47', 'BENDEMEER RD', 'KALLANG/WHAMPOA')"	330047
5556	"('47', 'CIRCUIT RD', 'GEYLANG')"	370047
5557	"('47', 'HOLLAND DR', 'QUEENSTOWN')"	270047
5558	"('47', 'JLN BAHAGIA', 'KALLANG/WHAMPOA')"	320047
5559	"('47', 'JLN TIGA', 'GEYLANG')"	390047
5560	"('47', 'LENGKOK BAHRU', 'BUKIT MERAH')"	151047
5561	"('47', 'LOR 6 TOA PAYOH', 'TOA PAYOH')"	310047
5562	"('47', 'MARINE CRES', 'MARINE PARADE')"	440047
5563	"('47', 'MOH GUAN TER', 'BUKIT MERAH')"	160047
5564	"('47', 'STIRLING RD', 'QUEENSTOWN')"	140047
5565	"('47', 'TEBAN GDNS RD', 'JURONG EAST')"	600047
5566	"('47', 'TELOK BLANGAH DR', 'BUKIT MERAH')"	100047
5567	"('470', 'ANG MO KIO AVE 10', 'ANG MO KIO')"	560470
5568	"('470', 'CHOA CHU KANG AVE 3', 'CHOA CHU KANG')"	680470
5569	"('470', 'JURONG WEST ST 41', 'JURONG WEST')"	640470
5570	"('470', 'PASIR RIS DR 6', 'PASIR RIS')"	510470
5571	"('470', 'SEGAR RD', 'BUKIT PANJANG')"	670470
5572	"('470', 'SEMBAWANG DR', 'SEMBAWANG')"	750470
5573	"('470', 'TAMPINES ST 44', 'TAMPINES')"	520470
5574	"('470A', 'UPP SERANGOON CRES', 'HOUGANG')"	531470
5575	"('470B', 'UPP SERANGOON CRES', 'HOUGANG')"	532470
5576	"('470C', 'UPP SERANGOON CRES', 'HOUGANG')"	533470
5577	"('471', 'ANG MO KIO AVE 10', 'ANG MO KIO')"	560471
5578	"('471', 'CHOA CHU KANG AVE 3', 'CHOA CHU KANG')"	680471
5579	"('471', 'JURONG WEST ST 41', 'JURONG WEST')"	640471
5580	"('471', 'PASIR RIS DR 6', 'PASIR RIS')"	510471
5581	"('471', 'SEGAR RD', 'BUKIT PANJANG')"	670471
5582	"('471', 'SEMBAWANG DR', 'SEMBAWANG')"	750471
5583	"('471A', 'UPP SERANGOON CRES', 'HOUGANG')"	531471
5584	"('471B', 'UPP SERANGOON CRES', 'HOUGANG')"	532471
5585	"('472', 'ANG MO KIO AVE 10', 'ANG MO KIO')"	560472
5586	"('472', 'CHOA CHU KANG AVE 3', 'CHOA CHU KANG')"	680472
5587	"('472', 'JURONG WEST ST 41', 'JURONG WEST')"	640472
5588	"('472', 'PASIR RIS DR 6', 'PASIR RIS')"	510472
5589	"('472', 'SEGAR RD', 'BUKIT PANJANG')"	670472
5590	"('472', 'SEMBAWANG DR', 'SEMBAWANG')"	750472
5591	"('472', 'TAMPINES ST 44', 'TAMPINES')"	520472
5592	"('472C', 'FERNVALE ST', 'SENGKANG')"	793472
5593	"('473', 'ANG MO KIO AVE 10', 'ANG MO KIO')"	560473
5594	"('473', 'CHOA CHU KANG AVE 3', 'CHOA CHU KANG')"	680473
5595	"('473', 'JURONG WEST ST 41', 'JURONG WEST')"	640473
5596	"('473', 'PASIR RIS DR 6', 'PASIR RIS')"	510473
5597	"('473', 'SEGAR RD', 'BUKIT PANJANG')"	670473
5598	"('473', 'SEMBAWANG DR', 'SEMBAWANG')"	750473
5599	"('474', 'ANG MO KIO AVE 10', 'ANG MO KIO')"	560474
5600	"('474', 'CHOA CHU KANG AVE 3', 'CHOA CHU KANG')"	680474
5601	"('474', 'JURONG WEST ST 41', 'JURONG WEST')"	640474
5602	"('474', 'PASIR RIS DR 6', 'PASIR RIS')"	510474
5603	"('474', 'SEGAR RD', 'BUKIT PANJANG')"	670474
5604	"('474', 'SEMBAWANG DR', 'SEMBAWANG')"	750474
5605	"('474', 'TAMPINES ST 43', 'TAMPINES')"	520474
5606	"('475', 'ANG MO KIO AVE 10', 'ANG MO KIO')"	560475
5607	"('475', 'JURONG WEST ST 41', 'JURONG WEST')"	640475
5608	"('475', 'PASIR RIS DR 6', 'PASIR RIS')"	510475
5609	"('475', 'SEGAR RD', 'BUKIT PANJANG')"	670475
5610	"('475', 'SEMBAWANG DR', 'SEMBAWANG')"	750475
5611	"('475A', 'UPP SERANGOON CRES', 'HOUGANG')"	531475
5612	"('475B', 'UPP SERANGOON CRES', 'HOUGANG')"	532475
5613	"('475C', 'UPP SERANGOON CRES', 'HOUGANG')"	533475
5614	"('475D', 'UPP SERANGOON CRES', 'HOUGANG')"	537475
5615	"('476', 'ANG MO KIO AVE 10', 'ANG MO KIO')"	560476
5616	"('476', 'JURONG WEST ST 41', 'JURONG WEST')"	640476
5617	"('476', 'PASIR RIS DR 6', 'PASIR RIS')"	510476
5618	"('476', 'SEGAR RD', 'BUKIT PANJANG')"	670476
5619	"('476', 'SEMBAWANG DR', 'SEMBAWANG')"	750476
5620	"('476', 'TAMPINES ST 44', 'TAMPINES')"	520476
5621	"('476A', 'CHOA CHU KANG AVE 5', 'CHOA CHU KANG')"	681476
5622	"('476A', 'UPP SERANGOON VIEW', 'HOUGANG')"	531476
5623	"('476B', 'CHOA CHU KANG AVE 5', 'CHOA CHU KANG')"	682476
5624	"('476B', 'UPP SERANGOON VIEW', 'HOUGANG')"	532476
5625	"('476C', 'CHOA CHU KANG AVE 5', 'CHOA CHU KANG')"	683476
5626	"('476C', 'UPP SERANGOON VIEW', 'HOUGANG')"	533476
5627	"('476D', 'CHOA CHU KANG AVE 5', 'CHOA CHU KANG')"	684476
5628	"('477', 'JURONG WEST ST 41', 'JURONG WEST')"	640477
5629	"('477', 'PASIR RIS DR 6', 'PASIR RIS')"	510477
5630	"('477', 'SEGAR RD', 'BUKIT PANJANG')"	670477
5631	"('477', 'SEMBAWANG DR', 'SEMBAWANG')"	750477
5632	"('477', 'TAMPINES ST 43', 'TAMPINES')"	520477
5633	"('477A', 'UPP SERANGOON VIEW', 'HOUGANG')"	531477
5634	"('477B', 'UPP SERANGOON VIEW', 'HOUGANG')"	532477
5635	"('477C', 'UPP SERANGOON VIEW', 'HOUGANG')"	533477
5636	"('478', 'JURONG WEST ST 41', 'JURONG WEST')"	640478
5637	"('478', 'PASIR RIS DR 4', 'PASIR RIS')"	510478
5638	"('478', 'SEGAR RD', 'BUKIT PANJANG')"	670478
5639	"('478', 'SEMBAWANG DR', 'SEMBAWANG')"	750478
5640	"('479', 'JURONG WEST ST 41', 'JURONG WEST')"	640479
5641	"('479', 'PASIR RIS DR 4', 'PASIR RIS')"	510479
5642	"('479', 'SEGAR RD', 'BUKIT PANJANG')"	670479
5643	"('479', 'SEMBAWANG DR', 'SEMBAWANG')"	750479
5644	"('479', 'TAMPINES ST 44', 'TAMPINES')"	520479
5645	"('48', 'BENDEMEER RD', 'KALLANG/WHAMPOA')"	330048
5646	"('48', 'CIRCUIT RD', 'GEYLANG')"	370048
5647	"('48', 'DORSET RD', 'KALLANG/WHAMPOA')"	210048
5648	"('48', 'JLN BAHAGIA', 'KALLANG/WHAMPOA')"	320048
5649	"('48', 'LENGKOK BAHRU', 'BUKIT MERAH')"	151048
5650	"('48', 'LOR 5 TOA PAYOH', 'TOA PAYOH')"	310048
5651	"('48', 'LOWER DELTA RD', 'BUKIT MERAH')"	160048
5652	"('48', 'MOH GUAN TER', 'BUKIT MERAH')"	161048
5653	"('48', 'STRATHMORE AVE', 'QUEENSTOWN')"	140048
5654	"('48', 'TEBAN GDNS RD', 'JURONG EAST')"	600048
5655	"('48', 'TELOK BLANGAH DR', 'BUKIT MERAH')"	100048
5656	"('480', 'JURONG WEST ST 41', 'JURONG WEST')"	640480
5657	"('480', 'PASIR RIS DR 4', 'PASIR RIS')"	510480
5658	"('480', 'SEGAR RD', 'BUKIT PANJANG')"	670480
5659	"('480', 'SEMBAWANG DR', 'SEMBAWANG')"	750480
5660	"('480', 'TAMPINES ST 44', 'TAMPINES')"	520480
5661	"('481', 'JURONG WEST ST 41', 'JURONG WEST')"	640481
5662	"('481', 'PASIR RIS DR 4', 'PASIR RIS')"	510481
5663	"('481', 'SEGAR RD', 'BUKIT PANJANG')"	670481
5664	"('481', 'SEMBAWANG DR', 'SEMBAWANG')"	750481
5665	"('481', 'TAMPINES ST 44', 'TAMPINES')"	520481
5666	"('482', 'ADMIRALTY LINK', 'SEMBAWANG')"	750482
5667	"('482', 'JURONG WEST ST 41', 'JURONG WEST')"	640482
5668	"('482', 'PASIR RIS DR 4', 'PASIR RIS')"	510482
5669	"('482', 'SEGAR RD', 'BUKIT PANJANG')"	670482
5670	"('482', 'TAMPINES ST 43', 'TAMPINES')"	520482
5671	"('483', 'ADMIRALTY LINK', 'SEMBAWANG')"	750483
5672	"('483', 'CHOA CHU KANG AVE 5', 'CHOA CHU KANG')"	680483
5673	"('483', 'JURONG WEST ST 41', 'JURONG WEST')"	640483
5674	"('483', 'PASIR RIS DR 4', 'PASIR RIS')"	510483
5675	"('483', 'SEGAR RD', 'BUKIT PANJANG')"	670483
5676	"('483', 'TAMPINES ST 43', 'TAMPINES')"	520483
5677	"('484', 'ADMIRALTY LINK', 'SEMBAWANG')"	750484
5678	"('484', 'CHOA CHU KANG AVE 5', 'CHOA CHU KANG')"	680484
5679	"('484', 'JURONG WEST AVE 1', 'JURONG WEST')"	640484
5680	"('484', 'PASIR RIS DR 4', 'PASIR RIS')"	510484
5681	"('484', 'SEGAR RD', 'BUKIT PANJANG')"	670484
5682	"('484', 'TAMPINES ST 43', 'TAMPINES')"	520484
5683	"('484A', 'CHOA CHU KANG AVE 5', 'CHOA CHU KANG')"	681484
5684	"('484B', 'CHOA CHU KANG AVE 5', 'CHOA CHU KANG')"	682484
5685	"('484C', 'CHOA CHU KANG AVE 5', 'CHOA CHU KANG')"	683484
5686	"('484D', 'CHOA CHU KANG AVE 5', 'CHOA CHU KANG')"	684484
5687	"('485', 'ADMIRALTY LINK', 'SEMBAWANG')"	750485
5688	"('485', 'CHOA CHU KANG AVE 5', 'CHOA CHU KANG')"	680485
5689	"('485', 'JURONG WEST AVE 1', 'JURONG WEST')"	640485
5690	"('485', 'PASIR RIS DR 4', 'PASIR RIS')"	510485
5691	"('485', 'SEGAR RD', 'BUKIT PANJANG')"	670485
5692	"('485A', 'CHOA CHU KANG AVE 5', 'CHOA CHU KANG')"	681485
5693	"('485A', 'TAMPINES AVE 9', 'TAMPINES')"	520485
5694	"('485B', 'CHOA CHU KANG AVE 5', 'CHOA CHU KANG')"	682485
5695	"('485B', 'TAMPINES AVE 9', 'TAMPINES')"	521485
5696	"('485C', 'CHOA CHU KANG AVE 5', 'CHOA CHU KANG')"	683485
5697	"('485D', 'CHOA CHU KANG AVE 5', 'CHOA CHU KANG')"	684485
5698	"('486', 'ADMIRALTY LINK', 'SEMBAWANG')"	750486
5699	"('486', 'CHOA CHU KANG AVE 5', 'CHOA CHU KANG')"	680486
5700	"('486', 'JURONG WEST AVE 1', 'JURONG WEST')"	640486
5701	"('486', 'PASIR RIS DR 4', 'PASIR RIS')"	510486
5702	"('486', 'SEGAR RD', 'BUKIT PANJANG')"	670486
5703	"('486A', 'TAMPINES AVE 9', 'TAMPINES')"	520486
5704	"('486B', 'TAMPINES AVE 9', 'TAMPINES')"	521486
5705	"('486C', 'TAMPINES AVE 9', 'TAMPINES')"	522486
5706	"('487', 'ADMIRALTY LINK', 'SEMBAWANG')"	750487
5707	"('487', 'JURONG WEST AVE 1', 'JURONG WEST')"	640487
5708	"('487', 'PASIR RIS DR 4', 'PASIR RIS')"	510487
5709	"('487', 'SEGAR RD', 'BUKIT PANJANG')"	670487
5710	"('487A', 'TAMPINES AVE 9', 'TAMPINES')"	520487
5711	"('487B', 'CHOA CHU KANG AVE 5', 'CHOA CHU KANG')"	682487
5712	"('487B', 'TAMPINES ST 45', 'TAMPINES')"	521487
5713	"('487C', 'CHOA CHU KANG AVE 5', 'CHOA CHU KANG')"	683487
5714	"('487C', 'TAMPINES ST 45', 'TAMPINES')"	522487
5715	"('488', 'ADMIRALTY LINK', 'SEMBAWANG')"	750488
5716	"('488', 'JURONG WEST AVE 1', 'JURONG WEST')"	640488
5717	"('488', 'SEGAR RD', 'BUKIT PANJANG')"	670488
5718	"('488A', 'CHOA CHU KANG AVE 5', 'CHOA CHU KANG')"	681488
5719	"('488A', 'TAMPINES AVE 9', 'TAMPINES')"	520488
5720	"('488B', 'TAMPINES ST 45', 'TAMPINES')"	521488
5721	"('489', 'ADMIRALTY LINK', 'SEMBAWANG')"	750489
5722	"('489', 'JURONG WEST AVE 1', 'JURONG WEST')"	640489
5723	"('489A', 'CHOA CHU KANG AVE 5', 'CHOA CHU KANG')"	681489
5724	"('489A', 'TAMPINES ST 45', 'TAMPINES')"	520489
5725	"('489B', 'TAMPINES ST 45', 'TAMPINES')"	521489
5726	"('489C', 'CHOA CHU KANG AVE 5', 'CHOA CHU KANG')"	683489
5727	"('489C', 'TAMPINES ST 45', 'TAMPINES')"	522489
5728	"('48A', 'DORSET RD', 'KALLANG/WHAMPOA')"	211048
5729	"('49', 'CIRCUIT RD', 'GEYLANG')"	370049
5730	"('49', 'DORSET RD', 'KALLANG/WHAMPOA')"	210049
5731	"('49', 'HOY FATT RD', 'BUKIT MERAH')"	150049
5732	"('49', 'JLN BAHAGIA', 'KALLANG/WHAMPOA')"	320049
5733	"('49', 'JLN TIGA', 'GEYLANG')"	390049
5734	"('49', 'KIM PONG RD', 'BUKIT MERAH')"	160049
5735	"('49', 'LOR 5 TOA PAYOH', 'TOA PAYOH')"	310049
5736	"('49', 'STRATHMORE AVE', 'QUEENSTOWN')"	140049
5737	"('49', 'TEBAN GDNS RD', 'JURONG EAST')"	600049
5738	"('49', 'TELOK BLANGAH DR', 'BUKIT MERAH')"	100049
5739	"('49', 'WHAMPOA STH', 'KALLANG/WHAMPOA')"	331049
5740	"('490', 'ADMIRALTY LINK', 'SEMBAWANG')"	750490
5741	"('490', 'JURONG WEST AVE 1', 'JURONG WEST')"	640490
5742	"('490A', 'TAMPINES ST 45', 'TAMPINES')"	520490
5743	"('490B', 'TAMPINES ST 45', 'TAMPINES')"	521490
5744	"('491', 'ADMIRALTY LINK', 'SEMBAWANG')"	750491
